ID,Title,Author,Units,Illustrator,Genre,Publisher,Publication Year,Price,Description,Condition,Condition Description,Format,Features,Language,Topic,Book Series,Type,Narrative Type,Edition,Manufactured,Inscribed,Intended Audience,Vintage,Signed,Pictures,Height,Width,Length,Weight,Weight Minor
1,The Count of Monte Cristo,Alexandre Dumas,1,,"Drama, Mystery, Victorian, Suspense",Bantam Books,1956,3,"Worn and aged, but intact. See pictures for more details.",Good,,Paperback,Dust Jacket,English,Adventure,,Novel,Fiction,,,,"Young Adults, Adults",Yes,,10,2,7,10,1,0
2,Goodnight Moon,Margaret Wise Brown,1,Clement Hurd,"Children, Fantasy, Animals",Harper and Row,1947,15,"Aged, but in good condition.",Good,,Hardback,,English,Playtime,,Kid's book,Fiction,,,,,,,13,2,7,10,1,0
3,"Oh, The Places You'll Go",Dr. Seuss,1,,"Children, Fantasy, Educational, Humor",Random House,1990,10,Minimal wear.,Good,,Hardback,Dust Jacket,English,Poetry,,Kid's book,Fiction,,,,,,,18,2,9,13,0,5
4,Horton Hears A Who!,Dr. Seuss,1,,"Children, Fantasy, Educational, Humor",Random House,1982,7,Book shows signs of wear and writiing on the inside. See pictures.,Good,,Hardback,,English,Poetry,,Kid's book,Fiction,,,,,,,13,2,9,13,1,5
5,The Sneetches and Other Stories,Dr. Seuss,1,,"Children, Fantasy, Educational, Humor",Random House,1989,10,Used but in good condition.,Good,,Hardback,,English,Poetry,,,,,,,,,,12,2,9,13,1,5
6,Green Eggs and Ham,Dr. Seuss,1,,"Children, Fantasy, Educational, Humor",Random House,1988,10,"Good condition, minimal wear.",Good,,Hardback,,English,Poetry,,,,,,,,,,12,2,7,10,1,0
7,Ten Apples Up On Top!,Dr. Seuss as Theo. LeSieg,1,Roy McKie,"Children, Fantasy, Educational, Humor",Random House,1989,7,"Good condition, minimal wear.",Good,,Hardback,,English,Poetry,,,,,,,,,,9,2,7,10,1,0
8,The Cat in the Hat,Dr. Seuss,1,,"Children, Fantasy, Educational, Humor",Random House,1985,12,Great condition. MInimal wear. See pictures for more details.,Good,,Hardback,,English,Children,,,,,,,,,,12,2,7,10,1,0
9,The Little Engine that Could,Watty Piper,1,George and Doris Hauman,"Children, Fantasy, Educational, Humor, Trains, Animals",Platt and Munk,1961,20,"Aged, but intact and in good condition. No pages missing. ",Good,,Hardback,,English,Trains,,,,,,,,,,11,2,7,10,1,0
10,The Mirror Crack'd,Agatha Christie,1,,"Mystery, Detective, Suspense, Drama, Murder, Thriller,",Pocket Books,1964,5,"Worn with signs of aging and slight discoloration, but intact. No missing pages.",Acceptable,,Paperback,,English,Mystery,,,,,,,,,,13,2,7,10,0,12
11,Kids' Book of Gross Facts and Feats,Todd Strasser,1,Donna Reynolds,"Children, Educational, Humor, Animals, Biology, Insects",Watermill Press,1998,3.5,Small tear on front and back cover. Book is intact and in decent condition.,Acceptable,,Paperback,,English,Science,,,,,,,,,,12,2,7,10,0,12
12,Sesame Street - Grover Takes Care of Baby,Emily Thompson,1,Tom Cooke,"Children, Fantasy, Educational, Humor, Trains, Animals, Babies",Little Golden Books,1987,5,Aged with visible signs of wear. Book is intact and no pages are missing.,Good,,Hardback,,English,Learning,,,,,,,,,,11,2,7,10,0,12
13,Star Wars - Little Golden Book Collection,"Courtney Carbone, Christopher Nicholas, Geof Smith",1,"Heather Martinez, Ethen Beavers, Patrick Spaziante, Caleb Meurer, Micky Rose, Chris Kennett, Ron Cohee","Children, Fantasy, Educational, Humor, Sci Fi",Little Golden Books,2016,12,"In good condition, with no major signs of wear and tear. A collection of 7 tales, spanning from Star Wars Episode 1 - 7. ",Good,,Hardback,,English,Sci Fi,,,,,,,,,,13,2,7,10,1,12
14,The Jungle Book,Rudyard Kipling,1,,"Children, Educational, Humor, Animals",Little Golden Books,1967,4,"Aged and worn, but complete and not missing pages. Read this to your children or add to your Disney collection.",Acceptable,,Hardback,,English,Animals,,,,,,,,,,13,2,7,10,0,12
15,101 Dalmatians,Justine Korman,1,Bill Langley and Ron Dias,"Children, Educational, Humor, Animals, Fantasy",Little Golden Books,1991,7,"Signs of aging, but otherwise in good condition. Great for little kids, Disney fans or dog lovers. ",Good,,Hardback,,English,Dogs,,,,,,,,,,13,2,7,10,0,12
16,A Series of Unfortunate Events - The Reptile Room,Lemony Snicket,1,Brett Helquist,"Children, Drama, Mystery, Suspense, Thriller, Young Adult",Harper Collins,1999,4,"Great condition. MInimal wear. If you want to feel things or make your kids appreciate you, this is the series for you! ",Good,,Hardback,,English,Children,,,,,,,,,,8,2,7,10,1,1
17,Junie B. Jones is a Beauty Shop Guy,Barbara Park,1,Denise Brunkus,"Children, Fantasy, Educational, Humor",Random House,1998,3,Worn with light signs of writing on cover. See pictures for more details.,Acceptable,,Paperback,,English,Children,,,,,,,,,,13,2,7,10,0,12
18,Junie B. Jones and the Mushy Gushy Valentime,Barbara Park,1,Denise Brunkus,"Children, Fantasy, Educational, Humor",Random House,1999,4,Worn with light signs of wear and aging. Teach your kids about love and Valentine's Day. See pictures for more details.,Acceptable,,Paperback,,English,Children,,,,,,,,,,13,2,7,10,0,12
19,Junie B. Jones Has a Peep in Her Pocket,Barbara Park,1,Denise Brunkus,"Children, Fantasy, Educational, Humor",Random House,2000,2,Tear on back cover. No pages missing. See pictures for more details.,Acceptable,,Paperback,,English,,,,,,,,,,,10,2,7,10,0,12
20,Bullies Are a Pain in the Brain,Trevor Romain,1,Trevor Romain,"Children, Fantasy, Educational, Humor",Free Spirit Publishing,1997,5,"In good condition, with no major signs of wear and tear. Bullies suck. I think we can all agree. Help your kids learn about how to deal with bullies with this book. Stomp out bullying! See pictures for more details.",Good,,Paperback,,English,,,,,,,,,,,15,2,7,10,0,14
21,Fish!,"Stephen C. Lundin Ph.D., Harry Paul and John Christensen",1,,"Educational, Self Help, Careers, Business",Hyperion,2000,3,Used but in good condition. Missing dust jacket.,Good,,Hardback,,English,,,,,,,,,,,7,2,7,10,1,0
22,The Time Machine and Invisible Man,H.G. Wells,1,,"Fantasy, Sci Fi, Thriller, Drama, Suspense",Signet Classic,1984,5,"Used with signs of wear. 2 great stories from the master, H.G. Wells. See pictures for more details.",Acceptable,,Paperback,,English,,,,,,,,,,,12,2,7,10,0,14
23,The Westing Game,Ellen Raskin,1,,"Adult, Mystery, Murder, Thriller, Suspense",Scholastic,1978,5,Minimal wear with signs of aging. A fun murdery mystery that'll keep you on the edge of your seat. See pictures for more details.,Good,,Paperback,,English,,,,,,,,,,,10,2,7,10,0,14
